stop_id ,name,service_branch,side,stop_order,stop_type,stop_date,place_label,place_standardized,certainty,source_field,source_excerpt,notes_for_mapping,lat,lon
149,John Ahoy,Navy,Union,5,service_station,1864,U.S.S Harvest Moon,Philadelphia,approximate,regiment_state + important_notes,"Enlisted March 3, 1862 (Same day as John Afoo); Complexion: ""Swarthy""; Relief, R.S. Boston, 2/20/64- Harvest Moon, Philadelphia, Discharged March 7, 1865 R. S. Phil",State-only location is approximate and may reflect regiment origin rather than exact enlistment place.,,
150,John Ahoy,Navy,Union,6,discharge_or_muster_out,"March 7, 1865",Philadelphia Receiving Ship,Philadelphia,approximate,important_notes,"Enlisted March 3, 1862 (Same day as John Afoo); Complexion: ""Swarthy""; Relief, R.S. Boston, 2/20/64- Harvest Moon, Philadelphia, Discharged March 7, 1865 R. S. Phil",,,
151,Thomas Ahoy,Navy,Union,1,birth_place,1836,"Macao, China","Macao, China",exact,born_if_known,"Macao, China, 1836",,,
152,Thomas Ahoy,Navy,Union,2,residence_at_enlistment,,,,approximate,important_notes,"Enlisted Nov 9th, 1860 for three years.; Occupation: ""Cook""; Complexion: ""Tawny""",Residence listed in notes; standardized place is best city/state match for mapping.,,
153,Thomas Ahoy,Navy,Union,3,enlistment_or_service_state,"November 9th, 1860",Philadelphia,Philadelphia,approximate,regiment_state + important_notes,"Enlisted Nov 9th, 1860 for three years.; Occupation: ""Cook""; Complexion: ""Tawny""",State-only location is approximate and may reflect regiment origin rather than exact enlistment place.,,
154,John Akee,Navy,Union,1,birth_place,1844,China,China,exact,born_if_known,"China, 1844",,,
155,John Akee,Navy,Union,2,residence_at_enlistment,1864,"New York, Third District, Brooklyn","Brooklyn, New York",exact,important_notes,"Enlisted May 24th, 1864.; Residence: New York, Third District, Brooklyn; Occupation: Steward; ""Scars under left arm and over left eyebrow (dark spot on belly""; 7-2-64: Tallapoosa Pursuit D. May 27.; 1865 R.S.N.Y. late Tallapoosa",Residence listed in notes; standardized place is best city/state match for mapping.,,
156,John Akee,Navy,Union,3,enlistment_or_service_state,"May 24th, 1864",New York,New York,exact,regiment_state + important_notes,"Enlisted May 24th, 1864.; Residence: New York, Third District, Brooklyn; Occupation: Steward; ""Scars under left arm and over left eyebrow (dark spot on belly""; 7-2-64: Tallapoosa Pursuit D. May 27.; 1865 R.S.N.Y. late Tallapoosa",State-only location is approximate and may reflect regiment origin rather than exact enlistment place.,,
157,John Akee,Navy,Union,4,service_station,"July 2, 1864",U.S.S. Tallapoosa Pursuit,New York,exact,regiment_state + important_notes,"Enlisted May 24th, 1864.; Residence: New York, Third District, Brooklyn; Occupation: Steward; ""Scars under left arm and over left eyebrow (dark spot on belly""; 7-2-64: Tallapoosa Pursuit D. May 27.; 1865 R.S.N.Y. late Tallapoosa",State-only location is approximate and may reflect regiment origin rather than exact enlistment place.,,
158,John Akee,Navy,Union,5,discharge_or_muster_out,"May 27, 1865",R.S.N.Y. late Tallapoosa,New York,exact,regiment_state + important_notes,"Enlisted May 24th, 1864.; Residence: New York, Third District, Brooklyn; Occupation: Steward; ""Scars under left arm and over left eyebrow (dark spot on belly""; 7-2-64: Tallapoosa Pursuit D. May 27.; 1865 R.S.N.Y. late Tallapoosa",State-only location is approximate and may reflect regiment origin rather than exact enlistment place.,,
