name,born_if_known,age_at_enlistment,side,service_branch,regiment_state,regiment_and_company,rank_in,rank_out,rank_in_out_raw,status_after_war,newspaper_references,ancestry_fold3_links,archival_information,important_notes
John R. Foote,"China, 1831",32,Union,Navy,New York,Navy,Landsman,,Landsman,,,https://www.ancestrylibrary.com/search/collections/60368/records/13764?tid=&pid=&queryId=034d4dfa-9269-4898-9f7a-7278314f0546&usePUBJs=true&_gl=1*so3p1t*_up*MQ..*_ga*MTA4NDI2NDg2My4xNzczNzA5Nzk5*_ga_4QT8FMEX30*czE3NzM3ODE5MDQkbzMkZzEkdDE3NzM3ODIxMDUkajUzJGwwJGgw*_ga_LMK6K2LSJH*czk2ZWQxNTljLWY4OTItNDMyZi05YTY3LWRjYWI0M2Y3MmEyYiRvMSRnMCR0MTc3MzcwOTc5OSRqNjAkbDAkaDA.,,"Enlisted: April 24th, 1863. Occupation: Cook"
John (Ah) Hang (William Hang? Tonk Kee Hang),"Canton, China, July 17, 1841",22,Union,Navy,New York,Navy,Landsman,Cabin Steward,Landsman/ Cabin Steward,Survived,,https://www.ancestrylibrary.com/search/collections/5358/records/22269?tid=&pid=&queryId=fc97b2f0-7cfa-4659-8a6d-31689517449a&usePUBJs=true&_gl=1*18ckxpp*_up*MQ..*_ga*MTA4NDI2NDg2My4xNzczNzA5Nzk5*_ga_4QT8FMEX30*czE3NzM3NzI4NjckbzIkZzEkdDE3NzM3Nzc5MzgkajM2JGwwJGgw*_ga_LMK6K2LSJH*czk2ZWQxNTljLWY4OTItNDMyZi05YTY3LWRjYWI0M2Y3MmEyYiRvMSRnMCR0MTc3MzcwOTc5OSRqNjAkbDAkaDA.; https://www.ancestrylibrary.com/search/collections/6061/records/54672777?tid=&pid=&queryId=38cc8a4c-af86-40b8-9dd5-0ccaf9ae0e5e&usePUBJs=true&_gl=1*tbupru*_up*MQ..*_ga*MTA4NDI2NDg2My4xNzczNzA5Nzk5*_ga_4QT8FMEX30*czE3NzM3ODE5MDQkbzMkZzEkdDE3NzM3ODIxMDUkajUzJGwwJGgw*_ga_LMK6K2LSJH*czk2ZWQxNTljLWY4OTItNDMyZi05YTY3LWRjYWI0M2Y3MmEyYiRvMSRnMCR0MTc3MzcwOTc5OSRqNjAkbDAkaDA.,search NARA when its back up,"Enlisted: July 24, 1863. U.S.S Albatross and Penguin Final Discharge: Sept. 30, 1864. GAR muster date: 15 Jun, 1920 in New York. Occupation after War: Tobacco Merchant. Residence after war: Soldiers and Sailors Home; No.8 Franklin street, New York City; Had a business at 500 Pearl Street and on Mott Street; Pension Approved: https://www.fold3.com/image/67165789/hang-john-page-117-us-navy-survivors-certificates-1861-1910; William Hang Confusion: Took the name of William at the urging of his first wife; Married Twice: Jennie Busch, 1868 in Savannah Georgia, died at West Brighton Staten Island. Second was to Maggie Duffy in 1878 and she died in April 1887 at West Brighton Staten Island. Widower at time of interview, 1917.; Attempted to naturalize but faced legal struggles and failed.; Died in Staten Island Hospital on December 3rd, 1923"
John Harry,"China, 1834",30,Union,Navy,New York,Navy,Landsman,,Landsman,,,https://www.ancestrylibrary.com/search/collections/60368/records/202718?tid=&pid=&queryId=4bd7f5cd-54b9-41e7-ab8d-6c1fd0a82d76&usePUBJs=true&_gl=1*1vgahq8*_up*MQ..*_ga*MTA4NDI2NDg2My4xNzczNzA5Nzk5*_ga_4QT8FMEX30*czE3NzM3NzI4NjckbzIkZzEkdDE3NzM3Nzc3MTYkajgkbDAkaDA.*_ga_LMK6K2LSJH*czk2ZWQxNTljLWY4OTItNDMyZi05YTY3LWRjYWI0M2Y3MmEyYiRvMSRnMCR0MTc3MzcwOTc5OSRqNjAkbDAkaDA.,,"Enlisted: June 25th, 1864: Residence- New Jersey, Fifth District, Newark. Occupation: Cook"
George Hitchings,"China, 1837-1838",24,Union,Navy,Boston,U.S.S Kenebec,Cook,,Cook,,,https://www.fold3.com/sub-image/268715396/hitchings-george-us-naval-enlistment-weekly-returns-1855-1891,,"Enlisted: February 1862. Occupation: Cook. ""Chinese"""
John How,"China, 1834",30,Union,Navy,"Kingston, Ulster, New York",Navy,Landsman,,Landsman,,,https://www.ancestrylibrary.com/search/collections/60368/records/204838?tid=&pid=&queryId=e8cfcafa-dece-4e9c-89c9-5901d1a8476c&usePUBJs=true&_gl=1*1883dae*_up*MQ..*_ga*MTA4NDI2NDg2My4xNzczNzA5Nzk5*_ga_4QT8FMEX30*czE3NzM3NzI4NjckbzIkZzEkdDE3NzM3NzQ5NjAkajYwJGwwJGgw*_ga_LMK6K2LSJH*czk2ZWQxNTljLWY4OTItNDMyZi05YTY3LWRjYWI0M2Y3MmEyYiRvMSRnMCR0MTc3MzcwOTc5OSRqNjAkbDAkaDA.; https://www.ancestrylibrary.com/search/collections/1964/records/129400?tid=&pid=&queryId=e8cfcafa-dece-4e9c-89c9-5901d1a8476c&usePUBJs=true&_gl=1*1883dae*_up*MQ..*_ga*MTA4NDI2NDg2My4xNzczNzA5Nzk5*_ga_4QT8FMEX30*czE3NzM3NzI4NjckbzIkZzEkdDE3NzM3NzQ5NjAkajYwJGwwJGgw*_ga_LMK6K2LSJH*czk2ZWQxNTljLWY4OTItNDMyZi05YTY3LWRjYWI0M2Y3MmEyYiRvMSRnMCR0MTc3MzcwOTc5OSRqNjAkbDAkaDA.,,"""Career: Cook"" Enlisted July 5th, 1864 for 3 years; Race: White; ""Five scars on forehead"""
Charles Irwin,"Hong Kong, China, 1838",23,Union,Navy,Philadelphia,Navy,Landsman,,Landsman,,,https://www.ancestrylibrary.com/search/collections/60368/records/106079?tid=&pid=&queryId=11934a34-a4aa-4a7b-a913-93dd19381047&usePUBJs=true&_gl=1*iaszjv*_up*MQ..*_ga*MTA4NDI2NDg2My4xNzczNzA5Nzk5*_ga_4QT8FMEX30*czE3NzM3NzI4NjckbzIkZzEkdDE3NzM3NzM2OTkkajU5JGwwJGgw*_ga_LMK6K2LSJH*czk2ZWQxNTljLWY4OTItNDMyZi05YTY3LWRjYWI0M2Y3MmEyYiRvMSRnMCR0MTc3MzcwOTc5OSRqNjAkbDAkaDA.,,"Enlisted: Nov. 30, 1861 for 3 years; Occupation: Mariner; ""Dark"" Complexion"
Ki-Ying,"Canton, China, born 1840-1841",,Union,Navy,New York,Navy,Landsman,,Landsman,"Deserted, Failed to appear",,,,"Enlisted: Nov. 30, 1861 for 3 years; https://www.fold3.com/sub-image/268540010/ki-ying-blank-us-naval-enlistment-weekly-returns-1855-1891. https://www.fold3.com/search?docQuery=(filters:!((type:military.conflict,values:!((label:US+Civil+War,value:US+Civil+War),(label:%27Civil+War+(Union)%27,value:%27Civil+War+(Union)%27)))),keywords:Ki-Ying); https://www.fold3.com/image/309952563/ki-ying-page-1-us-rendezvous-reports-index-civil-war-1861-1865"
Kwong Lee,"China, 1839",,Union,Navy,,,,,,,,,,"Served in 1862 ""aboard a gunboat which carried the mails for the army up and down the Mississippi""
Allegedly shot five times.
""Kwong Lee was shot five times in the defense of the country of which he was not yet a citizen. Besides the bullet hole in the head, he has another in the breast, one in the left leg, one in the right foot and a shell wound in the hip."" -The San Francisco Call
Became a naturalized citizen in 1874-- Turns out he lied about it
https://bluegraychinese.blogspot.com/search/label/Kwong%20Lee"
"Antonio Lofes (Lopes, Lopez)",Unknown,,Union,Navy,"Brooklyn, New York",Navy,Landsman,,Landsman,"Deserted, failed to report for his third assignment.",,https://www.fold3.com/image/310074106/lofes-antonio-page-1-us-rendezvous-reports-index-civil-war-1861-1865,,"Enlisted: August 27th, 1864. Record of service: 9/3/64, N.A. Squad., S. de Cuba, to Princeton June 17/65 ""Never reported"" Aud. '99 He literally vanishes, no record of him after this."
Marcella Montez,Not found on fold 3,,,Navy,,,,,,,,,,
